pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,pitch_name
FF,4/23/2021,97.5,-0.64,6.76,"Peralta, David",field_out,hit_into_play,ground_ball,13,101.7,-14,97,2172,6.1,4-Seam Fastball
FF,6/18/2021,97.5,0.94,6.22,"Goldschmidt, Paul",field_out,hit_into_play,ground_ball,11,85.5,-13,98.1,2244,6.5,4-Seam Fastball
FF,6/29/2021,97.4,-2.07,5.6,"Conforto, Michael",single,hit_into_play,line_drive,154,102.9,8,97.1,2403,6.2,4-Seam Fastball
FF,9/30/2021,97.4,-2.03,6.36,"Miller, Brad",field_out,hit_into_play,line_drive,360,107.1,17,98.8,2240,7.1,4-Seam Fastball
FF,8/28/2021,97.4,-0.37,6.7,"Flores, Wilmer",field_out,hit_into_play,line_drive,303,99.3,17,97.7,2015,6.2,4-Seam Fastball
FF,4/11/2021,97.4,-2.38,5.84,"Adrianza, Ehire",field_out,hit_into_play,line_drive,354,100.5,20,98.3,2282,7.1,4-Seam Fastball
FF,7/4/2021,97.4,-2.88,4.97,"Riley, Austin",single,hit_into_play,line_drive,303,87,19,97.2,2476,5.9,4-Seam Fastball
FF,5/8/2021,97.4,-2.51,5.89,"Adrianza, Ehire",single,hit_into_play,ground_ball,1,92.6,-57,98.4,2298,7.1,4-Seam Fastball
FF,7/16/2021,97.4,-0.37,6.94,"Arcia, Orlando",field_out,hit_into_play,ground_ball,2,80.6,-41,98.2,2414,6.7,4-Seam Fastball
FF,9/28/2021,97.4,-1.54,5.59,"Freeman, Freddie",single,hit_into_play,line_drive,157,103.4,8,99.2,2399,7.3,4-Seam Fastball
FF,4/11/2021,97.4,-2.47,5.93,"Pache, Cristian",field_out,hit_into_play,ground_ball,5,78.9,-21,98.9,2350,7.2,4-Seam Fastball
SI,7/30/2021,97.4,-0.88,6.04,"Vogt, Stephen",field_out,hit_into_play,ground_ball,133,91.5,9,97.9,2469,6.5,Sinker
